ID,Eyebrow,Prompt,Option 1,Opt1_Gym,Opt1_Home,Opt1_Boutique,Opt1_Couch,Option 2,Opt2_Gym,Opt2_Home,Opt2_Boutique,Opt2_Couch,Option 3,Opt3_Gym,Opt3_Home,Opt3_Boutique,Opt3_Couch,Option 4,Opt4_Gym,Opt4_Home,Opt4_Boutique,Opt4_Couch
q-track-record,The Track Record,"Be honest with your maker. The last time you had a fitness-adjacent goal, what happened?","I went 4 times a week, tracking every macro like a scientist.",2,1,1,0,"I bought a yoga mat, used it once as a stretching pad, and it is now gathering dust under my bed.",0,0,0,3,I paid for a membership for 8 months without going because I was too polite to cancel.,0,0,0,3,"I run outside until my knees click, then stop for three months.",0,2,0,1
q-commute,The Commute Reality Check,"It is Tuesday at 6:45 PM. It is dark, slightly drizzling, and you just finished a brutal work meeting. The gym is a 12-minute drive away. What are you doing?",Driving there. The iron calls to me.,3,0,0,0,"Sitting in my car in the driveway for 25 minutes scrolling TikTok, eventually eating cereal.",0,0,0,3,"I would go, but only if I have a pre-workout drink that makes my face itch so badly I have to lift things.",2,1,0,0,Opening a bottle of wine and doing three aggressive air squats to alleviate the guilt.,0,0,0,3
q-social-comfort,The Social Comfort Level,How do you feel about making accidental eye contact with a stranger who is grunting loudly while doing biceps curls directly in front of the mirror?,Standard Tuesday behavior. I will nod respectfully.,3,0,0,0,I would rather swallow a live wasp than navigate the social anxiety of a crowded free-weight section.,0,3,0,0,I only care if the lighting is optimal for my post-workout pump selfie.,1,0,3,0,"I prefer to sweat in the dark, isolated privacy of my own existential dread.",0,3,0,1
q-atmosphere,The Atmosphere Preference,What does your ideal workout environment smell like?,"Chalk, stale sweat, and iron.",3,0,0,0,"Eucalyptus, expensive candles, and a $16 cold-pressed juice.",0,0,3,0,"My own living room, specifically because nobody else is there.",0,3,0,0,"I don't know, what does a Netflix binge smell like?",0,0,0,3
q-penalty,The Financial Penalty,"If you don't show up for a workout, what happens?","I feel a deep, internal shame that ruins my day.",2,2,0,0,I am financially penalized $35 by my boutique studio app.,0,0,3,0,Absolutely nothing. The corporate gym chain quietly thanks me for my donation.,0,0,0,3,I just re-schedule it to 'tomorrow' for the fourth time this week.,0,0,0,3
q-equipment,The Equipment Choice,"If you were forced to buy one piece of fitness equipment today, what are you getting?","A sleek, pastel-colored kettlebell that matches my aesthetic.",0,1,3,0,A power rack. I'm building a sanctuary in my garage.,0,3,0,0,Liquid chalk and some lifting straps.,3,0,0,0,Does a massage gun count?,0,0,0,3
q-dress-code,The Dress Code,What is your typical workout attire?,Whatever is clean. Usually an old t-shirt from a 2014 fun run.,2,3,0,0,A matching $120 set that looks great under neon studio lighting.,0,0,3,0,Stringer tank top or oversized pump cover.,3,0,0,0,The same sweatpants I've been wearing since yesterday morning.,0,0,0,3
q-music,The Music,What are you listening to while 'working out'?,"Hardstyle, metal, or a podcast about optimizing my sleep protocol.",3,1,0,0,A perfectly curated deep-house playlist provided by the instructor.,0,0,3,0,"True crime podcasts, but I'm actually just doing chores around the house.",0,1,0,3,Whatever top 40 pop is blasting from the gym's overhead speakers.,1,0,0,0
q-post-workout,The Post-Workout Routine,You just finished a session. What's next?,Chugging a chalky protein shake in my car.,3,0,0,0,Paying $16 for a smoothie containing ingredients I can't pronounce.,0,0,3,0,Lying on my living room floor contemplating my life choices.,0,3,0,0,Taking a long shower and convincing myself I deserve pizza.,0,1,1,3
q-excuse,The Excuse,It's raining. Your planned workout is ruined. Why?,It's not. I'm already at the gym.,3,0,0,0,I can't be bothered to drive. I'll just do pushups in my bedroom.,0,3,0,0,My spin class got cancelled. Guess I'll get brunch instead.,0,0,3,2,Raining? That's prime blanket weather. Try again in spring.,0,0,0,3
q-locker-room-horror,Locker Room Dynamics,"An elderly stranger is completely naked, drying their toes with a hair dryer directly in your line of sight. Your immediate reaction is to:","Ignore it. I came here to bleed under a barbell, not judge a senior citizen's post-shower routine.",3,0,0,0,Feel completely vindicated in my decision to exercise 4 feet from my own bed.,0,3,0,0,Silently vow to report this to management while adjusting my silk head wrap.,0,0,2,1,Use this mental trauma as a valid excuse to skip working out for the next three business weeks.,0,0,0,3
q-subscription-guilt,Financial Bleeding,You notice a $45 monthly charge for a fitness app you haven't opened since the Obama administration. What is your next move?,Keep paying it because 'next month is when I turn my life around' (spoiler: you won't).,0,0,0,3,Cancel it instantly and buy a second-hand kettlebell off Facebook Marketplace.,0,3,0,0,Upgrade to the premium tier because it comes with an aesthetic meal plan PDF you'll never look at.,0,0,2,1,Transfer that capital directly into your commercial gym membership where you actually lift heavy things.,3,0,0,0
q-sweat-tolerance,Bodily Secretions,How do you feel about being completely drenched in sweat to the point where your clothes stick to your body?,It's the ultimate proof of dominance over my physical limitations. Wipe it on the shirt and keep going.,2,1,0,0,"It is an unholy biohazard. If I cannot immediately step into a tiled shower with luxury botanical soaps, I will perish.",0,0,3,0,"Completely fine, as long as no other human being is within a 5-mile radius to witness my damp misery.",0,3,0,0,Absolutely disgusting. Sweat is a design flaw. I actively avoid any movement that raises my core temperature.,0,0,0,3
q-influencer-encounter,The Content Industrial Complex,An influencer is filming a TikTok dance right in front of the weight rack you need. What do you do?,Walk directly through their frame to grab the 45-pound plates. My gains do not yield to social media algorithms.,3,0,0,0,Leave the room entirely and retreat to my basement bunker where the internet cannot hurt me.,0,3,0,0,Slightly adjust my high-waisted leggings and try to naturally blend into the background of their video.,0,0,2,1,"Watch them from the comfort of a machine I’m sitting on without actually exercising, using it as a distraction.",0,0,0,3
q-weather-excuse,Meteorological Motivation,"It's drizzling outside. Not a monsoon, just a light, depressing gray mist. How does this affect your workout plan?","The perfect atmospheric setting to put on a dark hoodie, blast heavy metal, and lift heavy metal.",2,1,0,0,"I'm already in my living room, so the sky's emotional problems are completely irrelevant to me.",0,3,0,0,Cancel my $35 spin class because my hair will frizz on the walk from the valet to the front door.,0,0,2,1,A clear sign from the universe that I should order Thai food and remain under a weighted blanket until spring.,0,0,0,3
q-mirror-mentality,Narcissism Check,What is the primary function of a mirror during a workout?,To critically evaluate my form while subtly checking if my pump makes me look intimidating.,2,0,1,0,To take a post-class selfie with a subtle filter that highlights my clavicle and my expensive water bottle.,0,0,3,0,"Mirrors are an abomination. I don't want to look at myself, and I certainly don't want anyone else looking at me.",0,3,0,0,To practice my 'I'm thinking deeply about my life choices' face while trying to catch my breath after climbing one flight of stairs.,0,0,0,3
q-instructor-interaction,Authority Figures,"An enthusiastic instructor yells, 'Come on, push through the pain, you're doing this for YOU!' directly into a headset microphone. How do you respond?",I find their forced optimism deeply patronizing and would pay good money to never hear their voice again.,0,2,0,1,"I am fueled entirely by their validation. If they don't look at me and say 'Good job, Sarah!' my workout is a failure.",0,0,3,0,I can't hear them over the sound of my own internal grunting and the noise-canceling headphones blaring deathcore.,2,1,0,0,"I close the laptop screen or lie down on the floor, pretending I have suddenly developed a medical emergency.",0,0,0,3
q-equipment-hogging,Territorial Disputes,"Someone has been sitting on the only bench press rack for 15 minutes, doing exactly one set and scrolling through Instagram for the remaining 14. Your strategy:","Stand exactly three feet away from them, glaring with arms crossed, establishing raw territorial dominance.",3,0,0,0,This is why I bought my own equipment. Society is fundamentally broken.,0,3,0,0,Kindly ask the front desk coordinator to intervene because confronting strangers ruins the studio's collective aura.,0,0,2,1,Use their bad etiquette as a valid excuse to abandon my workout entirely and head straight to the snack bar.,0,0,0,3
q-apparel-choices,The Fitness Uniform,"When choosing what to wear for physical exertion, your primary criteria is:","Does it match the current color palette of my Instagram feed, and did it cost more than a week of groceries?",0,0,3,0,"An oversized, frayed t-shirt from a 2012 high school charity drive and whatever sweatpants don't have structural holes.",1,2,0,0,"Brand new, high-end athletic wear that still has the tags on it because I'm manifesting a lifestyle I haven't started yet.",0,0,1,2,Whatever is cleanest on top of the laundry basket. Nobody is seeing me anyway except my cat.,0,3,0,0
q-post-workout-fuel,Nutritional Rewards,The workout is over. What are you putting into your body to recover?,A lukewarm shaker bottle containing chalky whey protein powder mixed with tap water. Performance over pleasure.,3,0,0,0,"A $16 artisanal cold-pressed beverage featuring adaptogenic mushrooms, blue spirulina, and oat milk.",0,0,3,0,"Whatever leftovers are closest to expiration in my fridge, consumed standing up over the sink.",0,3,0,0,A massive serving of complex carbohydrates and refined sugars because 'I earned it' by thinking about walking on a treadmill.,0,0,0,3
q-the-commute-friction,Logistical Despair,The workout facility requires finding parking in a crowded downtown area during rush hour. Your psychological state is:,Unbothered. The road rage simply adds to my pre-workout adrenaline rush.,3,0,0,0,This is a structural failure of modern urban planning. I will remain in my home where parking is guaranteed.,0,3,0,0,"I pay for the premium tier membership that includes complimentary valet parking, so it's a non-issue.",0,0,3,0,"I'm turning the car around immediately. Finding a spot is too stressful, and stress kills more people than lack of cardio.",0,0,0,3
q-social-anxiety,Human Proximity,How do you feel about making eye contact with another human being while making an unattractive face during physical exertion?,"Let them look. If they can't handle me at my absolute ugliest lifting heavy weights, they don't deserve me at my baseline.",3,0,0,0,I would rather swallow a live wasp than have another person see my face while I struggle.,0,3,0,0,The lighting is dimmed to a subtle neon glow precisely so no one can see individual suffering. It's a shared aesthetic vibe.,0,0,3,0,I don't make unattractive faces because I never exert myself to the point of discomfort.,0,0,0,3
q-the-motivation-myth,Internal Drive,Where does your motivation to exercise primarily originate?,"A deep, dark, unresolved psychological need to prove my high school gym teacher wrong.",2,1,0,0,The fear of wasting the ridiculous amount of money I spent on a boutique subscription package this month.,0,0,3,0,"A structured, unemotional habit built into my daily routine like brushing my teeth. Motivation is for amateurs.",1,2,0,0,"It doesn't. It exists briefly for about 10 minutes after watching an inspiring documentary, then completely vanishes.",0,0,0,3
q-music-selection,Auditory Stimulation,What is the soundtrack to your physical suffering?,"Curated, high-tempo electronic dance music blasted through a million-dollar club-grade sound system.",0,0,3,0,"Aggressive, unhinged heavy metal or gangster rap that makes me want to fight a wall.",3,0,0,0,True crime podcasts where people get brutally murdered in the woods. It keeps me focused.,0,3,0,0,The sweet sound of a television comedy playing in the background while I check my phone every 45 seconds.,0,0,0,3
q-the-cleaning-ritual,Hygiene Expectations,You finish using a piece of equipment and notice a slight sheen of your own sweat on it. What is your process?,"Thoroughly sanitize it with the provided disinfectant spray, ensuring the next person doesn't contract my DNA.",2,0,1,0,"I don't wipe down anything because it's my house, my sweat, and my kingdom of dirt.",0,3,0,0,The dedicated studio staff or the next person will handle it; my premium fee includes maintenance.,0,0,2,1,"I walk away slowly, hoping no one saw me, and never return to that specific side of the room.",0,0,0,3
q-the-resolution-trap,Temporal Delusions,It is January 2nd. The fitness space is absolutely packed with eager new faces. Your internal monologue says:,Look at these fragile tourists. They’ll all quit by February 15th anyway. Stay out of my squat rack.,3,0,0,0,Thank God I don't have to deal with this seasonal migration pattern in my spare bedroom.,0,3,0,0,"Oh wow, everyone looks so cute in their new matching sets! The energy in this community is so vibrant right now!",0,0,3,0,"I am one of these eager new faces, and I am already deeply regretting every financial and physical choice that led me here.",0,0,0,3
q-equipment-complexity,Mechanical Sophistication,"You encounter a complex fitness machine with multiple pulleys, levers, and an instruction diagram that looks like a NASA blueprint. You:","Figure it out by trial and error, loading up the weight stack until it makes a satisfying clanking noise.",3,0,0,0,"Avoid it completely. If it can't be done with a heavy iron ball attached to a handle, it's unnecessary commercial fluff.",0,3,0,0,Wait for an instructor to precisely calibrate the settings for me so I don't compromise my alignment or break a nail.,0,0,3,0,"Stare at it blankly for 30 seconds, sit on it backwards by accident, get embarrassed, and go look at the water fountain.",0,0,0,3
q-the-cancellation-test,Contractual Commitment,"To cancel your membership, you must send a notarized letter via carrier pigeon to an office in North Dakota. Your response:","I will never cancel. This place is my temple, and my membership card will be buried with me.",3,0,0,0,I don't sign contracts with corporate overlords. I pay cash for my iron or use gravity for free.,0,3,0,0,I just use a boutique class pack that handles everything seamlessly through an app with zero friction.,0,0,3,0,I will simply accept the recurring charge for the next five years because confronting administrative friction is terrifying.,0,0,0,3
q-fitness-tracking,Data Obsession,Your smartwatch dies 2 minutes into your workout. What happens next?,"The workout is officially void. The calories didn't count, the heart rate wasn't logged, and my day is ruined.",0,0,2,1,Who cares? The heavy things are still heavy regardless of what a piece of wrist plastic thinks.,2,1,0,0,Perfect. Now I can sit down and stop moving entirely since there's no digital record to hold me accountable.,0,0,0,3,I keep moving according to my internal training log. I don't need a cloud server to validate my suffering.,0,3,0,0
q-the-scent-profile,Olfactory Environment,What does your ideal exercise environment smell like?,"A delicate blend of premium lavender essential oils, expensive cleaning chemicals, and high-end air purifiers.",0,0,3,0,"Industrial rubber flooring, stale chalk, dried sweat, and a subtle undertone of raw, unadulterated effort.",3,0,0,0,"Dust motes, laundry detergent from the adjacent washing machine, and complete social isolation.",0,3,0,0,"Scented candles, freshly baked goods from the kitchen, and absolutely zero physical exertion.",0,0,0,3
q-group-pressure,Peer Mimicry,Everyone in the room is performing a complex explosive movement that looks highly dangerous for your lower back. You:,Do it anyway because the peer pressure in this room is intoxicating and I want the instructor to like me.,0,0,3,0,Modify it immediately to a basic heavy compound lift. I don't do circus tricks for clout.,3,0,0,0,I am not in the room. I am alone in my house doing basic movements where no one can judge my safety metrics.,0,3,0,0,"Slowly lay down on a mat, hold my hamstring, and make a pained face so people think I’m an injured athlete instead of lazy.",0,0,0,3
q-the-weekend-ritual,Saturday Morning Choices,It's Saturday at 8:00 AM. Your alarm goes off. What is your reality?,"I'm already at the studio door, waiting for the doors to open so I can secure my favorite Reformer machine.",0,0,3,0,Crawling out of bed to lift heavy iron before the commercial gym gets overrun by teenagers filming their biceps.,3,0,0,0,"Drinking coffee in my underwear while staring at the pull-up bar I installed in the doorway, mentally preparing to use it.",0,2,0,1,Smashing the snooze button with the force of a thousand suns and waking up at noon with a headache.,0,0,0,3
q-lighting-vibe,Visual Ambience,The lighting in your ideal workout facility should be described as:,"Harsh, unyielding fluorescent bulbs that show every single flaw, vein, and drop of sweat with clinical accuracy.",3,0,0,0,"A dark, nightclub-adjacent aesthetic with neon accents that make everyone look 40% more attractive than they actually are.",0,0,3,0,"The natural, low-wattage lighting of my own home where I can control the blinds and hide from the public.",0,3,0,0,Completely off. The only light should be coming from a television screen while I lie horizontal.,0,0,0,3
q-the-price-of-admission,Financial Motivation,How much financial skin do you need in the game to actually take your health seriously?,"$10 a month. If it costs any more, it's a scam. The iron doesn't care about luxury branding.",2,1,0,0,"At least $300 a month. If the price tag doesn't cause me slight financial panic, I simply will not show up.",0,0,3,0,"Zero. I bought my weights once, and I will use them until the day I die without paying rent to a facility.",0,3,0,0,It doesn't matter how much I spend; I will consistently pay the premium and still find a reason to stay home.,0,0,1,2
q-socializing-intent,Companionship Needs,"When you see an acquaintance at the fitness venue, your immediate internal reaction is:","Put on my oversized headphones, pull down my hat, and pretend to be illiterate and blind.",1,2,0,0,"Wave enthusiastically, plan to get a post-workout brunch together, and spend 10 minutes discussing our weekend plans.",0,0,3,0,"Give a brief, silent head nod of mutual athletic respect, then immediately return to my training set.",3,0,0,0,"Hide behind a pillar, wait for them to leave, and text them later saying 'So bummed I missed you, I worked out so hard!'",0,0,0,3
q-soreness-reaction,Delayed Onset Muscle Soreness,You wake up the morning after a workout and your thighs feel like they are made of shattered glass. You think:,This is a magnificent sensation. The biological machinery is rebuilding. Time to train upper body.,3,0,0,0,I need to book a professional sports massage and buy an expensive topical recovery cream immediately.,0,0,3,0,"Hobble over to my foam roller in the living room, curse quietly to myself, and stick to the routine.",0,3,0,0,I have clearly done permanent structural damage to my anatomy. I am retired from physical activity indefinitely.,0,0,0,3
q-cardio-philosophy,Endurance Suffering,What is your preferred method of elevated cardiovascular activity?,Staring at a blank wall on a commercial treadmill for 45 minutes while pondering the futility of human existence.,3,0,0,0,Sprint intervals down my own street or high-intensity jumping jacks in my kitchen where nobody can watch me bounce.,0,3,0,0,"An immersive, rhythm-based choreography experience where the lights flash and I forget I'm actually doing cardio.",0,0,3,0,Walking slowly to the kitchen to see if the contents of the refrigerator have magically changed since I checked 10 minutes ago.,0,0,0,3
q-the-fitness-app-clutter,Digital Solutions,Your phone's home screen has a dedicated folder filled with 7 different fitness tracking apps. How often do you use them?,"Every single day to log my exact sets, reps, and micro-progression metrics.",1,2,0,0,Only when I need to book a highly competitive reservation slot for a premium studio class.,0,0,3,0,They exist purely as a digital monument to my good intentions. I open them once every quarter to feel guilty.,0,0,0,3,"I don't use apps. I write my numbers in a battered, sweat-stained paper notebook like a real lifter.",2,1,0,0
q-hydration-accessories,Vessel Aesthetics,Choose your primary weapon for maintaining optimal cellular hydration:,"A massive, unbranded 1-gallon plastic jug filled with tap water that looks like it belongs on a construction site.",3,0,0,0,"A highly trendy, insulated tumbler in a limited-edition pastel colorway that matches my outfit.",0,0,3,0,"A standard reusable bottle covered in stickers from independent outdoor brands, filled with filtered home water.",0,3,0,0,An open can of diet soda or a sugary iced coffee that defeats the entire biological purpose of hydration.,0,0,0,3
q-the-ideal-duration,Temporal Investment,What is the perfect amount of time to allocate to a single exercise session?,"Exactly 45 minutes of hyper-efficient, high-octane group movement followed by a quick exit.",0,0,3,0,"A brutal 90-minute marathon of lifting, resting, staring blankly, and lifting again.",3,0,0,0,"A swift, convenient 25-minute circuit done during a lunch break before my coworkers realize I'm gone.",0,3,0,0,About 12 minutes of light stretching followed by 50 minutes of lying on the mat scrolling through real estate apps.,0,0,0,3
q-the-pre-workout-ritual,Chemical Preparation,Your psychological preparation routine before physical exertion consists of:,Consuming enough highly caffeinated pre-workout powder to make my skin itch and my heart beat like a techno song.,3,0,0,0,Drinking a double espresso in my own kitchen while quietly staring at the wall in absolute silence.,0,3,0,0,Applying a spritz of expensive body mist and selecting a premium hair tie to ensure complete aesthetic synergy.,0,0,3,0,"Spending 45 minutes looking for my running shoes, giving up, and deciding that today is a rest day.",0,0,0,3
q-the-guest-experience,Spatial Navigation,You walk into a new fitness facility for the first time. Your dominant emotion is:,Excitement to survey the equipment landscape and evaluate the heavy-duty rack options.,3,0,0,0,"Deep admiration for the interior design, the complimentary beauty products, and the retail selection in the lobby.",0,0,3,0,"Intense social dread. I don't belong here, everyone is watching me, and I want to escape back to my cave.",0,2,0,1,Pure resentment that I was dragged here by a friend when I could be at home consuming media.,0,0,0,3
q-the-injury-excuse,Anatomical Fragility,You experience a minor tweak in your left wrist. How does this impact your long-term fitness strategy?,Modify my programming to focus entirely on lower body exercises. The grind doesn't stop for a weak joint.,2,1,0,0,Freeze my boutique membership immediately and notify my instructor that I will be absent for rehabilitation.,0,0,3,0,"Accept my fate as a housebound creature, focusing on core exercises that require zero upper body engagement.",0,3,0,0,This is a medical catastrophe. I must remain completely immobile on the sofa for the next six months to ensure full recovery.,0,0,0,3
q-accountability-dynamics,Social Contracts,"Your workout partner texts you at 5:30 AM saying, 'Hey, sorry, can't make it today.' Your immediate action is to:",Go anyway. My dedication was never contingent on their fragile work ethic.,2,1,0,0,"Thank the fitness deities for this absolute gift, roll back over, and sleep for another two hours.",0,0,0,3,Pivot to a solitary home session where I don't need human validation to execute my programming.,0,3,0,0,Feel intense panic because I don't know what to do without a group environment guiding my every move.,0,0,3,0
q-the-ideal-instructor,Pedagogical Styles,"If you had to choose a professional to direct your physical movement, you would choose:",A former drill sergeant who communicates entirely in guttural shouts and demands absolute physical submission.,2,0,1,0,A charismatic fitness influencer who tells me I'm a radiant warrior while adjusting my pelvis posture.,0,0,3,0,"No one. I am my own master, guided entirely by YouTube instructional videos played at 1.5x speed.",0,3,0,0,A passive-aggressive therapist who tells me it's okay to give up and accept my physical mediocrity.,0,0,0,3
q-the-locker-room-amenities,Material Comforts,"Your opinion on the presence of complimentary dry shampoo, luxury body lotion, and premium hair straighteners is:","An absolute operational requirement. Without them, the facility is essentially a medieval dungeon.",0,0,3,0,A complete waste of capital. Spend that money on better barbells and thicker rubber matting.,3,0,0,0,Irrelevant because I use my own bathroom facilities immediately after completing my session.,0,3,0,0,I enjoy looking at them while avoiding the actual exercise portion of the facility visit.,0,0,1,2
q-the-gym-bro-culture,Subcultural Tribalisim,Two individuals are aggressively high-fiving and grunting after a heavy lift. Your psychological assessment is:,Beautiful. Pure communal camaraderie. I want to join their pack and share their chalk.,3,0,0,0,An exhausting display of toxic performance. This is why I refuse to leave my house.,0,3,0,0,"Deeply uncivilized. They would never survive the polite, synchronized etiquette of a premium Pilates studio.",0,0,3,0,A fascinating anthropological display that I will judge harshly while eating a pastry in my car.,0,0,0,3
q-the-travel-dilemma,Geographic Disruption,You are staying at a hotel for a three-day vacation. The hotel fitness center consists of two rusty dumbbells and a broken bicycle. You:,Find a local hardcore powerlifting gym within a 20-mile radius and pay the exorbitant day-rate fee.,3,0,0,0,"Perform a high-intensity bodyweight routine on the hotel carpet, ignoring the questionable stains beneath my face.",0,3,0,0,Locate the nearest luxury studio branch to maintain my class streak and secure an aesthetic vacation selfie.,0,0,3,0,Celebrate this structural limitation as a legitimate excuse to consume alcohol at the hotel bar starting at 11:00 AM.,0,0,0,3
q-the-mirror-selfie-protocol,Digital Validation,When is it appropriate to document your physical state via a photographic digital asset?,"Only when the lighting hits my musculature at a precise 45-degree angle, demonstrating functional hypertrophy.",2,0,1,0,"Before, during, and after every single class, complete with geo-tags and a mention of the premium studio brand.",0,0,3,0,Never. The camera is an instrument of vanity and I am a ghost operating in silence.,0,3,0,0,Only when I want to post a throw-back picture from three years ago to pretend I still possess physical vitality.,0,0,0,3
